Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Anshul Goods Carriers,"D-1/770, Gali No:- 7B, Ashoka Nagar, Shahadara, Delhi - 93",Delhi,Delhi,Rajkumar,011 - 6*7*99*4,"9911*969*7 ,  9*10991*7* ,  9716*0*11*","Service :- Agra , Gwalior, Indore . Bhopal & All Over M.P.",Supplier,LCV,,,"407,  909 Ton",All Type Material
Antarrajaya Transport (Alwar),"Plot No.1, DCM Chowk, Zakhira, Delhi",Delhi,Delhi,Harcharn Singh,011 - 2*1191**,"9*2**9**7* ,  99**10*160","All Over Alwar, Bhiwadi","Supplier, Booking","HCV, LCV",,,"10 Wheeler,  6 Wheelers","Machinery,  Retail,  Furnitures"
Anup Road lines,"Gali No - 8, Swaroop Nagar Extension, Delhi-42",Delhi,Delhi,Sube Singh,011 - *241*799,9*10004*14,"Parcel Services For Chhattisgarh, Maharashtra","Supplier, Booking",,,,"10 Wheeler,  407,  909 Ton",All Type Material
Apar Roadline(R),"U.P Border, Post Office, Chikamberpur, Ghaziabad",Delhi,Delhi,Munesh Kumar,"0120 - 262*620 ,  2620114",9*12**996*,"For U.P, Bihar, Bengal, Special Services For : Kanpur, Luckhnow, Banaras",Supplier,LCV,,,6 Wheelers,All Type Material
Apollo Roadlines,"Godown Burari Road, Gali No - 8, Sawrop Nagar, Delhi",Delhi,Delhi,Sanjay Gupta,,"9212429*17 ,  9212429117 ,  9***621717,  9***171717",All Over South India,Booking,HCV,,,10 Wheeler,Parcel Services
APS Carriers Regd.,"N- 39, Shyam Enclave, Gaini Border, Nitco Wali Gali, U.P. - Border, Delhi",Delhi,Delhi,"Ajit Singh, Harvinder Singh",,"9*11**1*2* ,  9*1042*190 ,  9*12*104*4","Full & Part Load Booking For U.P. Punjab, & All Over India",Booking,"HCV, LCV",*jitp*l.*.c*rrier*@gm*il.com,,"Tempo,  Truck,  10 Wheeler,  12 Wheeler","Coal,  House Hold Goods"
Arihant Logi Corporation,"8551, Gulshan Guesi House, Roshanara Road, Delhi",Delhi,Delhi,Dinesh Chandra,"011 - 2**2294* ,  2**2094* ,  2**22949",9*100707*9,Daily Service & Full Load Booking For All Over India,"Supplier, Booking","HCV, LCV",,,"10 Wheeler,  12 Wheeler","Industrial Goods,  Food"
Arora Tempo Transport Service,"G. T. Karna Road, B-Block, Near Gola Bankat Hall, Industrial Area, Delhi-33",Delhi,Delhi,Ravinder Singh,011 - 274*97**,9*11*0*6*2,"For Delhi, U.P., & Haryana",Booking,LCV,,,"407 Ton,  3 Wheelers",Industrial Goods
Jai Mata Dee Transport Co.,"Chaudhary Compound, Opp. TCI Godown, U.P. Border, PO. Chikamberpur, Ghaziabad",Delhi,Delhi,Sukhvinder Singh,,9*1020*4*1,"All Over U.P., Agra, Mathura, Firozabad",Supplier,LCV,,,6 Wheelers,All Type Material
Arora Transport Service,"6/14, Industrial Area, Kirti Nagar, New Delhi-15",Delhi,Delhi,Sumit Arora,,9*11*4****,All Over India,Booking,"HCV, LCV",,,,
Arpit Road Carriers,"205, 2nd Floor, Apsara Cinema Complex, U.P. Border, Chikamberpur, Ghaziabad",Delhi,Delhi,Ajay Singh,"0120 - 2629796 ,  2629797 ,  4*12797 ,  4*7*797","9*11009797 ,  9*1*719797",Service All Over India,Supplier,HCV,*rpit.ro*dc*rrier234@gm*il.com,,Trailer,Industrial Goods
Arun Transport Co. (R),"B-18, DSIDC Complex, Timber Market, Kirti Nagar, New Delhi- 15",Delhi,Delhi,Arun Sharma,011 - 2*41664*,"92*092492* ,  92*0924926","All Over India, Special For Calcutta","Supplier, Booking",LCV,*tc.*run*h*rm*@y*hoo.co.in,,"14 Ft.,  19 Ft. ,  407 Ton",Industrial Goods
Arunanchal Transport Corporation,"2, Khanna Market, Tis Hazari, Delhi",Delhi,Delhi,Vimal,"011 - 2***11** ,  2***1166",*1*02*0011,"Parcel Booking For Gowahati & Assam, Nagaland, Arunachal, Manipur",Booking,HCV,,,10 Wheeler,Parcel Services
Arvind Road Carrier Pvt. Ltd.,"A-10, Mahindra Market, G.T. Karnal Road, Delhi - 33",Delhi,Delhi,Subhash,,9*111*4649,All Over South India,Booking,HCV,,,"Trailer,  10 Wheeler,  6 Wheelers","Car,  Bike Supplier"
Arya Transport Co. (Regd.),"Lohari Gate, 3rd 3947, Naya Bazar, Delhi - 6",Delhi,Delhi,RAJIV,,9*1*961100,"Daily Parcel Harpur, Pilkhwa, Gulawati All Over Delhi",Booking,LCV,,,"407,  Canter",Parcel Services
Aryavart Transport Corporation,"Vimal Compound, 6th Mile Stone, U.P. Border, Ghaziaba.",Delhi,Delhi,Subhash Chandra Arora,0120 - 262*4*1,"9*712*1*4* ,  9*719**7*7","Parcel Booking For Bahadurgarh, Rohtak, Bhiwani, Karnal, Gurgaon, Riwari, Ambala, Panipat, Sonipat, Karnal & All Haryana",Booking,"HCV, LCV",,,"Truck,  10 Wheeler,  1110 & 1109",Parcel Service
Arzoo Transport Corporation,"Shop No. 2, 1st Floor, Plot No. 66, Prakash Industrial Estate, Sahibabad, Ghaziabad",Delhi,Delhi,Mahinder Singh,,"9*10*20077,  9*116*7677",All Over South,"Supplier, Booking",,*rzootptcorp@gm*il.com,,,
Asha Cargo Movers Pvt. Ltd.,"25, Khanna Market, Tis Hazari, Delhi-110054",Delhi,Delhi,Sushil Jain,"011 - 2*946602,  2*92*092,  27**199*,  27**1996,  *2220701,  *2220401",,"Daily Services : Agra, Allahabad, Basti, Mathura & All Over U.P.",Booking,"HCV, LCV",,,,
Ashirwad Roadlines,"BG-552, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,Rajesh Mutreja,011 - 42*6*271,"9*99*100*0 ,  9*1114*64*",All Over Maharashtra,Supplier,HCV,,,10 Wheeler,"Food,  Food Grain"
Ashirward Transport Co.,"AW-9, Sanjay Gandhi Transprot Nagar, Delhi-42",Delhi,Delhi,Naresh,,"9*1**6*620,  9266661920,  9*10**71**","Service : Ruderpur, Kashipur, Haldwani, Lalkun, Muradabad",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Ashok Roadlines,"157, Transport Centre , Azadpur, Delhi",Delhi,Delhi,Bablu Kumar,,9**0**7766,"Full Truck Available For Nimach, Ratlam, Indore & All M.P.",Booking,LCV,,,"10 Wheeler,  12 Wheeler,  1109,  407,  Canter",All Type Material
Ashok Tempo Transport Service,"3-A, Meera Tower, Industrial Area, Delhi - 52",Delhi,Delhi,Ashok Ji,"011 - 27*761*2,  27*7462*,  27*7**92","9212*2010*,  9212491*46,  9*10216207","U.P., Haryana, Punjab. Special Services For Punjab, Jammu, Chandigarh, Mumbai",Booking,LCV,**hoktempotr*n*port@.y*hoo.com,,"10 Wheeler,  12 Wheeler",Industrial Goods
Ashoka Logistic,"Pocket D-14, Flat NO.190, 2nd Floor, Opp. Metro Piller No. 414, Sec-7, Rohini, Delhi -85",Delhi,Delhi,S. K. Swami,011 - *2*2*149,9*102261*6,"C.G., Jharkhand ,Bihar,M.H.",Booking,,**hok*.ho@gm*il.com,,"10 Wheeler,  12 Wheeler",All Type Material
Ashoka Road Carrier,"Giani Border, Opp. N.E.C.C. G.T. Road, P.O. Chikamberpur, Ghaziabad",Delhi,Delhi,Dinesh & Ashok,"0120 - 2622229,  262**29",9*1224*717,All Over India,Booking,HCV,upgc**hok@y*hoo.in,,"10 Wheeler,  12 Wheeler",Steel
Ashoka Trailer Roadways,"Baba Hari Das Nagar, Tikri Border, New Delhi",Delhi,Delhi,Surender Singh,011 - 2***14*4,"9*11097*0*,  90*077**99","Service All Over Chhattisgarh, Himachal, U.K., J & K",Supplier,"HCV, LCV",,,,
Ashoka Transport Agency,"B-13, OLD MARKET MANGOLPURI, PAHSE 1, DELHI- 84",Delhi,Delhi,Mansingh,,9*1222*916,All Over India,Booking,"HCV, LCV",,,"Tempo,  10 Wheeler,  12 Wheeler",All Type Material
Ashoka Transport Co. (Regd.),"6th Mile Stone, Near Mata Mandir, Delhi U.P.- Border, Ghaziabad",Delhi,Delhi,Hansraj,"0120 - 221*0691 ,  22140***",9*1101**4*,"Special For Bihar, Bengal, Orissa, Jharkhand And All Over India",Booking,"HCV, LCV",,,"Trailer,  10 Wheeler,  12 Wheeler",Tiles
Ashoka Transport Corp.,"8 / 36, Vijay Nagar, Dubie Storey, Delhi - 9",Delhi,Delhi,"Ashok Kumar , Suresh Kumar",,"9*122*6676 ,  9*960*2*77",All Over North India,"Supplier, Booking",HCV,**hok*tr*n*portcorp@gm*il.com,,10 Wheeler,"Coal,  Steel"
Ashoka Transport Corp.,"Plot No. 239, Patpad Ganj, Industrial Area, Delhi - 92",Delhi,Delhi,Raghuveer,011 - *2961*17,9*124*9907,Daily Parcel Service : Delhi To Dehradun Entire Uttranchal & H.P.,Booking,LCV,*tcdelhi@gm*il.com,,"1109,  405,  407 Ton",Parcel Services
Ashoka Transways Service Pvt. Ltd.,"H.O, Alipur",Delhi,Delhi,Ashok Avdesh,"011 - 2770*447 ,  2770*676 ,  *2*2*149 ,  2*62*291","9*104261*6 ,  9**0*1**41",All Over India,Booking,"HCV, LCV",,,,
Ashu Road Carriers,"CW-532, Sanjay Gandhi Transport Nagar, Delhi- 42",Delhi,Delhi,D.N. Mishra,011 - 27**649*,9*1026*422,"Full Truck Load All Rajasthan, U.P., Uttaranchal","Supplier, Booking","HCV, LCV",mi*hr*ro*dc*rrier.dn@gm*il.com,,"10 Wheeler,  12 Wheeler,  6 Wheelers",All Type Material
Asian Road Line,"Transport Complex, Main Rohtak Road, Tikri kalan, Delhi",Delhi,Delhi,Randhir Kaushik,"011 - 2*****0* ,  2***11** ,  2***22**",9*101**2*1,Full Truck Load For All Over India,Booking,"HCV, LCV",,,"10 Wheeler,  12 Wheeler",Steel
Asian Roadways,"AG-450 , Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Atul Gupta,"011 - 4**720**,  27**740*","9*104*2*00,  9*101*2*00",Full Load & ODC Bokking For All Over India,Booking,HCV,**i*nro*dw*y*@ym*il.com,,"Tempo,  Trailer,  Container,  10 Wheeler,  12 Wheeler",Industrial Goods
Asian Transport Service,"C-27, Mansrover Garden, New Delhi - 15",Delhi,Delhi,Surender,"011 - 2*4*2*47 ,  2*1166**",9*1**29292,All Over India,"Supplier, Booking","HCV, LCV",**i*n.tpt@gm*il.com,,"10 Wheeler,  1109,  407 Ton","Industrial Goods,  Machinery"
Asiatic Transport Co.,"210 / 8551, Gulshan Guest House, Roshanara Road, Delhi",Delhi,Delhi,B.M. Kaushik,"011 - 2**20119 ,  2**22117",9910407*7*,Full Truck Available For All Over India,Booking,"HCV, LCV",,,,
Assam Bengal Orissa Roadlines (R),"Shop No.2, Main Road, Near Shibbal Cinema, Badarpur, Delhi - 44",Delhi,Delhi,Jaswant Singh,"011 - 269962** ,  26997*** ,  29*91*** ,  29*9*9**",,"Full Load / Part Load Available For U.P., Bihar, Bengal, Orissa & Assam",Booking,LCV,,,"1109,  407 Ton",All Type Material
Assam Bengal Road Carriers,"Plot. No - 7, Pushpa Bhawan, By Pass Road, Badarpur Border, Faridabad, Haryana",Delhi,Delhi,"PraveenYadv, Birpal Yadav",0129 - 22*04*0,"99****7742 ,  **606***62 ,  99****77*2","Full/ Part Load Service For : Bihar, Bengal, Orrisa, Agartala, M.P., U.P., Kerla & All Over India",Supplier,LCV,,,1109 Ton,All Type Material
Assam Bengal Roadways Ltd.,"57/F, Plot No - 9, Gadodia Road, Anand Prabat, Delhi 5",Delhi,Delhi,Pyarelal,011 - 2*7164*0,9*1*0*7*27,All Over India,Booking,"HCV, LCV",,,"Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Assam Bombay Cargo Carriers,"Khasara Road No - 358, Kohali Chowk, Bijaswan, Delhi",Delhi,Delhi,"Rohit Aggrawal , Rajender Sharma",,"9**004260* ,  9**0**24*6 ,  9*100*24*7,  9*1*04260*",Daily Parcel Service : Delhi-Mumbai-Delhi,Booking,"HCV, LCV",****mbomb*y@rediffm*il.com,,"10 Wheeler,  12 Wheeler,  6 Wheelers",Parcel Services
Assam Bombay Corp.,"Shop No - 2, Jain Market, G.T. Karnal Road, Libaspur, Delhi",Delhi,Delhi,Sarnunder Singh,011 - 27**1***,"9*12*06*76,  9*1*7191*0,  9999414496","Full Truck Available For Assam, Bengal, Gauhati, Nagaland, U.P., Meghalaya",Supplier,HCV,,,"10 Wheeler,  12 Wheeler,  18 Wheeler",Food Grain
Assam Calcutta Roadways,"6th Mile Stone , U.P. -Border, Delhi",Delhi,Delhi,Dharmpal,0120 - 2614*7*,"9971*44*62,  9717*6*700","Service ;- Bihar, Bengal, Assam, & Orissa",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",Parcel Services
Assam Golden Transport Company (Regd.),"Shop No- 07, 2nd Floor, Sarai Pipal Thaila, Delhi - 33",Delhi,Delhi,Yash Pal Singh,011 - 27**0*19,"92*04*12** ,  997162**71","All Over Delhi, Bihar, Assam",Supplier,"HCV, LCV",,,"10 Wheeler,  12 Wheeler","All Type Material,  Food"
ATC Express Logistic,"1436/193, Military Road, New Rohtak Road Crossing, Karol Bagh, New Delhi",Delhi,Delhi,Gaurav Maggo,011 - *299*992,"9*1**10497,  9*106*4*14",All Over South India,Booking,,,,"Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Ayaan Roadliens,"49, Ashoka Market, Old Subzi Mandi, Delhi-07",Delhi,Delhi,Manoj Agarwal,011 - 6**69467,9*100207**,All Over India,"Supplier, Booking",LCV,,,"1109,  405,  407 Ton",All Type Material
B.N. Roadways,"372 , Transit Camp , Govindpuri , Delhi.",Delhi,Delhi,"Badrinaryan, Ramkumar",011 - 299*2716,"9*122*2716,  9*112*2716","Canter, Tata, & Full Truck Service For All Over India & Nepal",Supplier,LCV,,,,
B.S. Cargo Movers,"Shyam Enclav , Nittco Wali Gali , U.P. Border , sahibabad , Ghaziabad",Delhi,Delhi,Yeshwant Sharma,0120- 261*60*,9*9116*962,Full Load Service - Delhi To Kolkata,Booking,,*hiv*h*ktiro*dw*y*@y*hoo.in,,"10 Wheeler,  12 Wheeler",All Type Material
B.S. Road Carrier,"239, Giani Compound Giani Border G. T Road, Ghaziaba.",Delhi,Delhi,V.N . Gaurgh,0120 - 41040*1,,Local Area Service,Booking,LCV,,,"Tempo,  Tata Ace ,  407,  709,  909",Medicine
B.S. Roadlines,"CW -266, S.GTN Delhi-42",Delhi,Delhi,Gurpeet Singh,,"9*111**122,  9**9**9*92 ","Kolkata Line East Side Spl:- 32,34 Feet Container Available Kolkata ,Patna",Supplier,HCV,g*k*hlon7878@gm*il.com,,"Container,  32 Ft. ,  34 Ft.",Chocolate
B.V. Road Carriers,"Plot No.4, Kavita Colony, Nangloi Delhi - 41",Delhi,Delhi,"Vikram Mehta, Bhushan Bhasin",,"9*100*7920,  9*1141**4*,  9*1227409*","Local Delhi, Haryana, U.P , Rajasthan",Supplier,"HCV, LCV",,,"Truck,  10 Wheeler,  6 Wheelers",
Baba Cargo Carriers,"Shop No.- 48 , Badam Singh Market N.H. No.8, Near Radisson Hotel, Rangpuri , Mahipalpur Road New Delhi",Delhi,Delhi,"Vipin Tripathi , Vinay",,"9**077220*,  9717*7*602","Daily Service Kanpur Allahabad, Varanasi , Agra And All Over U.P",Supplier,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Baba Dev Puri Road Lines,"CW - 48 , Shop No.- 6, 1st Floor, S.G.T.N. Delhi - 42",Delhi,Delhi,Ashok,,9*1*66224*,All South India,"Supplier, Booking",HCV,,,"10 Wheeler,  12 Wheeler",Parcel
Baba Haridas Transport Co.,"107/924 , Jharoda kalan , New Delhi",Delhi,Delhi,Pawan Kumar,,"9212291*9* ,  9212*01*9*","Truck Available For Delhi To Kandla, Gujarat ","Supplier, Booking",HCV,bhtcdelhi@gm*il.com,,"Trailer,  10 Wheeler,  12 Wheeler","Rice ,  Wood ,  Plastic"
Baby Tempo Transport Service,"68, Ashoka Market, Old Subzi Mandi , Delhi.",Delhi,Delhi,"B. M. Anand, R. K. Anand, Manoj Anand","011 - 2*97**74,  2*97***0,  2*9*60*7,  2*974007","9*100207** ,  9**0***607 ","Tata DCM, Canter: Punjab, H.P, J&K, & All Over India",Booking,LCV,,,,
Bahadurgarh Jain Goods Transport Company,"32A , New Qutab Road , Teliwara , Delhi-6",Delhi,Delhi,Shanti Parkash Jain,011 - 2*612*9*,"9*71**1**6,  *74**64470",Daily Parcel Service For Delhi To Najafgarh & Badalgarh,Booking,LCV,,,"Tempo,  6 Wheelers",All Type Material
Bajaj Cargo Carriers,"12/7, Subhash Nagar , New Delhi.",Delhi,Delhi,Satish Bajaj,,"9*11*2*2*4 ,  9*10*2*2*4 ",Full Load - Delhi To Mumbai To Delhi,"Supplier, Booking",HCV,,,"Container,  32 Ft.",All Type Material
Bajaj Tempo Service,"2/148, Geeta Colony, Delhi-31",Delhi,Delhi,"Davinder Bajaj, Vipin Bajaj","011 - 22*40622 ,  22466667,  22440622","9*1029*4*6 ,  921*666161","Tata-407, 709, & Full Truck Available For Delhi, U.P., Har., Punjab, Raj. & H.P All Over India",Supplier,,b*j*jtempo*ervice@y*hoo.com,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",Carton-Box
Bajrang Bali Goods Transport Co.,"Shop No.5 , A-14 . Ambey Garden , Jain Market , Libaspur , Delhi",Delhi,Delhi,Satpal Arora,"011 - 27**0277,  *2410277",9911490277 ,"Lorry Service - Raj., M.H, Pb., Guj.",Supplier,,,,,All Type Material
Bajrang Freight Carrier,"3 , Rajendra Market , Tis Hazari , Delhi.",Delhi,Delhi,"Sanjay Kumar, Satish Mishra",011 - 2*9**471,9*101*1991 ,"Daily Parcel Service Alwar-Delhi-Alwar, Rajasthan","Supplier, Booking",LCV,,,"Tempo,  4 Wheeler To 6 Wheeler",All Type Material
Bajrang Tempo Transport Co.,"Shop No.- A- 83 , Mandoli Extension , Near New Nand Nagri Thana , Main Wazirabad , Delhi.",Delhi,Delhi,Ashok Kumar Tyagi,"011 - 22*41*21,  22*41621","9*10211271,  9*10211272,  9*10*10704",Full Load & Part Load - All Over India,"Supplier, Booking",,,,,
Bajrang Transport Co.,"6, 4122, Naya Bazar,Delhi - 6",Delhi,Delhi,Chandra Bhan,011 - 2*916*02,996*04*4**,"Full Truck Load Only Local - Alwar ,Nagar, Sikri,Phadi, Malakheda",Booking,HCV,,,"Truck,  6 Wheeler",All Type Material
Bajrang Transport Service,"CW-224 , 2nd Floor , Sanjay Gandhi , Transport Nagar , Delhi.",Delhi,Delhi,"Manoj , Kuldeep","011 - 27**1110,  47*61110,  6***7201","9*10**669*,   9999**669*,   996***7209,   *010**7209","All U.P. , Bihar , Jharkhand , Bengal , Kolkata , Orissa .",Supplier,LCV,,,"6 Wheelers 1109 ,  1110",All Type Material
Bajwa Transport Corporation,"H.S. Bajawa Compound ,7 th Mile Stone , Delhi U.P. Border , Sahibabad , Ghaziabad",Delhi,Delhi,H. S . Bajwa,,"9910*9*24*,  9*10492*7* ,  96*09**416 ,  *4*9*04*2*",Full Load - All Over India,"Supplier, Booking",,b*jw*tptco@gm*il.com,,,All Type Material
Bakshi Carrier Service,"RZH- 19 , Raghu Nagar , Pankha Road , New Delhi - 45",Delhi,Delhi,"Ashok Bakshi , Sunny Bakshi",011 - 2***17**,9*10*6060* ,"Tata, Canter, Full Truck Available For Delhi, U.P, Uttranchal, Rajasthan, Haryana Punjab, Gujarat, Maharashtra & All Over India",Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  ODC Cargo,  10 Wheeler,  12 Wheeler",Electronics Goods
Bakshi Transport Carrier,"D-22B , Rajouri Garden , New Delhi - 27",Delhi,Delhi,"Simran, Karamjit Singh","011 - 6*9*7090,  2*191647","921221671* ,  99901***22","Full Load For India , Bangladesh, Spl. In ODC Household Goods Truck , Trailer",Supplier,HCV,B*k*hitptc*rrier@gm*il.com,,"Container,  32 Ft.",House Hold Goods
Balaji Cargo Carriers (India),"Udai Bhan Yadav Building, Opp.- Raj Singh Complex , Kapashera New Delhi",Delhi,Delhi,Anand Kaushik,011 - 2*061096,"9*10447167,  9*10061096",Household Goods And Car Movers - All Over India,"Supplier, Booking","HCV, LCV",,,,"All Type Material,  House Hold Goods, Auto Parts"
Balaji Cargo Management Service,"321 , Apsara Complex , Ghaziabad",Delhi,Delhi,"Mahender Goel, Vinod Goel",0120 - 4271277,"9*10214177 ,  99999926*1",Full Truck Available For All Over India,Booking,HCV,info@b*l*jim*il.com,,"Trailer,  ODC Cargo,  10 Wheeler,  12 Wheeler,  10 Wheeler To 40 Wheeler",All Type Material
Balaji Freight Carriers Pvt. Ltd.,"BG-354 , Sanjay Gandhi Transport Nagar , Delhi.",Delhi,Delhi,Ghanshyam Goel,"011 - 27**24**,  27**199*,  27**7777","9*101166**,   9***77*077",Daily Parcel Service Delhi-Mumbai-Delhi,Booking,,b*l*jidelhi@y*hoo.co.in,,,
Shree Balaji Roadways,"A - 64 , Temple Colony , Samaypur , Delhi.",Delhi,Delhi,S.K. Sharma,011 - *2**9090,,"Full Truck Available For Meerut, Haridwar, Saharanpur & All Over U.P.",Supplier,,,,"Tempo,  Truck,  10 Wheeler,  6 Wheelers",All Type Material
Balaji Roadlines,"Shop No.6 , Main Rohtak Road , Swaran Park , Mundka , Delhi",Delhi,Delhi,Narender Kumar,011 - 2**4*940,9*1*2*9761 ,"Truck & Mini Truck Available All Maharashtra , Gujarat , Mumbai .","Supplier, Booking",,,,,
Balaji Tempo Transport Service,"C-130 , Amar Colony , Main Wazirabad Road , Delhi.",Delhi,Delhi,Naresh,011 - 22*1**17,9*10*4*926,"Full Load - U.P. , Raj. , U.K. , Gujarat .","Supplier, Booking",LCV,,,"Tempo,  Truck,  6 Wheelers ,  1109",All Type Material
Balaji Transport Co.,"A-35 , Shyam Enclave , Gyani Border , Sahibabad , Ghaziabad.",Delhi,Delhi,"Pawan Bansal , Sunil Bansal",,"9*12**1**1,  9*104*1166,  921277197*",Full Truck Service - Only Assam,Supplier,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",
Balak Transport Co.,"Shop N0.- 139 , Transport Centre , New Subzi Mandi , Azadpur , New Delhi",Delhi,Delhi,Nasir,011 - 4179*704 ,"9*11*6*1*1,  9**06*2170","Full Truck Available For U.P., Bilaspur, Chandausi, Ghaziabad., Rampur, Hapur, Sambhal",Supplier,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Balwan Road Carriers (Regd.),"F-9/69 , Sector-15 , Rohini , Delhi.",Delhi,Delhi,Balwan Singh,"011 - 27**2272,  *2*2*9*9",9*111*04*9,"Container For All Over India , Special Service - South India",Booking,HCV,,,"Container,  32 Ft.",Electronics Goods
Banaras Goods Transport Corporation,"Shop No. - 207, Kamla Market , New Delhi - 2",Delhi,Delhi,K. L. Rai,"011 - 2*2***0*,  2*21*490","9*1071*21*,  9211**2*00 ",Daily Parcel Booking For Delhi To Mumbai To Delhi,"Supplier, Booking",LCV,,,,
Banga Delhi Roadways,"AW-499, 1 st Floor, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,Ajit Singh,"011 - 27***1*4,  27***00* ,  42*641*4",9*110741*2 ,"Full Truck Available For Punjab , Haryana","Supplier, Booking",,,,,
Bangalore Madras Roadways,"Shop NO.-13 , Molarband Extension , Near MCD School , By-Pass Road , Opp. -Sector-37 , Badarpur , New Delhi - 44",Delhi,Delhi,Brahm Singh,"011 - 64*7**00,  *299**00","9*11410*00,  9212760*00","Lorry Supplier - Bangalore, Hyderabad , Vijayawada, Madras, Cochin, Madurai , All South India",Supplier,LCV,,,"Truck,  6 Wheelers ,  1110",Industrial Goods
Bangla Baba Goods Carrier,"Shop No.- 204/1 , Sarai Pipal Thala , Azadpur , Delhi -33",Delhi,Delhi,Sanjay Misra,,"99110016**,  9*112***79,  9*72***997",Lorry Service - All Over India,"Supplier, Booking",LCV,,,"Tempo,  Truck,  Container,  10 Wheeler,  12 Wheeler,  407,  709,  909,  1109,  1110",Industrial Goods
Banglore Calcutta Roadways,"Plot No.- 69 , Gali No.- 1 , Near Apsara Complex , U.P. Border , Ghaziabad",Delhi,Delhi,"Manjeet Singh , Kuldeep",,"9*122192*2,   *2***40*2*","Full Truck Available For Assam, Bihar, Bengal, Calcutta",Supplier,,,,,
Banglore Poona Roadways (Regd.),"CW-642 / AW - 4 , Sanjay Gandhi , Transport Nagar , Delhi-42",Delhi,Delhi,Ishaer Singh,,"9*10021*0*,  9*1**21*0*,  9*700200*7","Lorry Service - Punjab , Maharashtra , U.P. , Karnataka",Supplier,HCV,,,"Truck,  10 Wheeler,  12 Wheeler,  6 Wheelers","All Type Material,  Parcel"
Bansal India Transport Co. / Shatabdi Express Roadways,"428/3 , Rani Khera Road , Near Government School , Mundka , Delhi - 41",Delhi,Delhi,"Rahul Bansal ,R. B. Bansal",,"9212714414,  9*12**2414,  9*100*2414","Rajasthan , Punjab , Bihar & All Over India","Supplier, Booking","HCV, LCV",rb*er.2000@gm*il.com,,"Tempo,  407",All Type Material
Bansal India Transport Corporation,"Opp. Police Chowki , U.P. Border , Ghaziabad.",Delhi,Delhi,S. P. Bansal,,"9*1**4*6**,  **60**60*4",Full Load Service - All Over India,Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Bansal Road Carriers,"Near Mahavir Dharam kanta , Shekhawati Compound , Ghaziabad.",Delhi,Delhi,"Yogesh Aggarwal, Mukesh Aggarwal",,"9*1***62*4,  9*10*7**21,  9*10*4*11*",Full Load & Part Load - Punjab & Jammu & Kashmir,"Supplier, Booking","HCV, LCV",,,"Truck,  10 Wheeler,  6 Wheelers",All Type Material
Bansal Roadways,"BG-573 , Sanjay Gandhi Transport Nagar , Delhi",Delhi,Delhi,"V. P. Bansal , Rakesh Bansal","011 - 27**1**0,  27**129*","9**0*1129* ,  9*1*27249* ,  9**0*1129*","Truck Available For. Coimbatore , Cochin , Bangalore , Hyderabad & South India","Supplier, Booking",,,,"Truck,  Container,  10 Wheeler,  12 Wheeler,  6 Wheelers ,  32 Ft.",Parcel
Bareilly Shahjahanpur Freight Carrier,"Opp.- Telephone Exchange , Near Shani Mandir , U.P. Border , Ghaziabad.",Delhi,Delhi,"Davinder Singh , Amardeep Singh",0120 - 26216*6 ,"991096*249,  9*7171*76* ,  94*77279*6",Service - All Over U.P. & Uttarakhand,Supplier,HCV,,,"Truck,  9 Ton, 15 Ton",All Type Material
Barielly Express Transport Co.,"BG-344 , Sanjay Gandhi Transport Nagar , Delhi",Delhi,Delhi,Jagjit Sethi,"011 - 27**2*47,  27**1927,  2*67*0**","9*1**0*004,   *2*720*004 ","Full Load & Parcel Booking For Moradabad , Rampur , Bareilly , Pilibhit , Sitapur , Lucknow All Over India",Booking,HCV,,,"Truck,  6 Wheelers",All Type Material
Barkha Roadways,"Chug Warehouse , Old Seema Puri Road , U.P. Border , Delhi - 95",Delhi,Delhi,Rambir Jhakad,,"9*10**661* ,  92121*661*","Lorry Service - Bihar, Bengal, Assam & Orissa",Supplier,HCV,,,"Trailer,  10 Wheeler,  12 Wheeler,  14 Wheeler ,  18 Wheeler",Parcel
Basethia Goods Carrier,"Nangloi Najafgarh Road , Ranhola Village , Near Gopal Dharma Kanta , Nangloi , Delhi-41",Delhi,Delhi,"Anil, Bablu",,"9*119**7*7,  9*91691*6*,  09*1*9**7*7","Lorry Service - Rajasthan , Haryana",Supplier,LCV,,,"Tempo,  Truck,  1109,  1110",All Type Material
